name,lat,long,difficulty,max_elevation(m),elevation_gain(m),total_distance (km),duration,routes,starting_point,features_attractions
Aldera Hill ,1.6974371,37.281603,Hard.,1812,1120,18,7 - 8 hrs.,,Camp Ndotto.,
Arabuko-Sokoke Forest ,-3.3268639,39.8752498,Easy.,35,48,5.8,2 – 3 hrs.,,KFS Gede Gate.,
Bamburi Forest Trails,-3.9887793,39.7345133,Easy.,24,34,3.7,1 – 2 hrs.,,,
Bathi Trail,-0.9602901,36.6309771,Easy.,2611,297,12,4 – 5 hrs.,,,
Brakenhurst,-1.1148315,36.6849335,Easy.,2193,78,2.5,< 1hr.,,,
Chaimu Hill,-2.8956737,38.0946754,Easy.,978,78,1,< 1hr.,,,
Chyulu Hills,-2.5378617,37.8524356,Moderate.,1889,492,8.5,4 – 5 hrs.,,,
Colobus Conservation,-4.3444108,39.5649514,Easy.,198,,0.68,< 1hr.,,,Eco-Tour.
Crater Lake Sanctuary,-0.7803966,36.2616196,Moderate.,2003,,5,2 – 3 hrs.,,,
Crescent Island,-0.7642951,36.4151113,Easy.,1942,,3.8,1 – 2 hrs.,,,
Diani Beach,-4.3124919,39.5793598,Moderate.,17,79,24.1,5 - 6 hrs.,Kongo River – Chale Island.,,
Elephant Hill,-0.7236109,36.6802691,Hard.,3658,1420,25,8 – 9 hrs.,Gatare,Gatare Old Station.,
Elephant Hill,-0.7246463,36.6807884,Hard.,3657,1189,19.1,7 – 8 hrs.,Njabini,Njabini Forest Gate.,
Gatamaiyu Forest ,-0.9715429,36.6963348,Easy – Moderate.,2274,104,3,1 – 2 hrs.,,Gatamaiyu Fishing Camp.,Thaba Falls.
Gatango Falls ,-0.3517584,35.7521979,Moderate.,890,596,14,4 – 5 hrs.,,Mucharage.,
Gathoni Park Farm,-1.1396722,36.6604833,Easy.,2279,381,11,5 - 6 hrs.,,,
Gatura Greens,-0.879922,36.8740289,Moderate.,1854,205,1.8,1 – 2 hrs.,,,
Gede Ruins,-3.3067514,40.0179067,Easy.,229,,3.6,1 – 2 hrs.,,,Historical Culture Tour.
Gicheru,-0.9918625,36.8241244,Moderate.,2123,,15.71,8 – 9 hrs.,,,"Gorge, Caves, Diatomite Mine."
Giraffe Centre,-1.3765618,36.7445949,Easy.,1789,,2.2,1 – 2 hrs.,,,"River, Dam, Giraffes, Warthogs."
Githobokoni Falls ,-0.8654328,36.8261597,Moderate.,2061,199,4.5,2 – 3 hrs.,,St Patrick Catholic Church Mataara.,
Haller Park,-4.0158805,39.7215955,Easy.,9,,3.7,1 – 2 hrs.,,,Game Sanctuary.
Hell’s Gate National Park,-0.8896355,36.3188478,Moderate.,1917,231,12.3,4 – 5 hrs.,,,"Ol Njorowa Gorge, Geysers, Hot Steam Vents."
Hell’s Kitchen,-3.0256383,39.9620732,Moderate.,272,62,2.2,< 1hr.,,,
Ilovoto Trail ,-1.85,37.3166,Moderate.,1991,780,14,4 – 5 hrs.,,Mukaa.,Ilovoto Falls.
John Michuki Memorial Park,-1.2756775,36.8160304,Easy.,1675,88,5.3,1 – 2 hrs.,,,
Kahunira Trail ,-1.0521605,36.8083343,Moderate.,1988,234,6.5,3 - 4 hrs.,,Githunguri.,Waterfalls & Ruiru Dam.
Kakamega Forest,0.2560106,34.8753529,Easy.,1642,,10.7,3 - 4 hrs.,,,"Great Viewpoint, Waterfalls."
Kamweti Forest,-0.38103,37.3109112,Moderate.,2279,319,13,4 – 5 hrs.,,Castle Forest Lodge.,Kamweti Falls.
Kang’ere Falls ,-0.4074101,37.2820403,Easy – Moderate.,2108,376,16.6,5 - 6 hrs.,,Castle Forest Station.,
Karunguru Coffee Farm,-1.0609929,36.9611669,Easy.,,,4.5,1 – 2 hrs.,,,
Karura Forest ,-1.2387026,36.8326048,Easy.,1713,87,7.3,1 – 2 hrs.,Cheruiyot Loop.,Gate C.,
Karura Forest ,-1.2387026,36.8326048,Easy.,1743,482,25,5 - 6 hrs.,,Sigiria Gate.,
Karura Forest (Sigiria) ,-1.2404187,36.7952496,Easy.,1745,220,8.7,2 – 3 hrs.,,Sigiria Gate.,
Karuru Falls ,-0.5257135,36.7222397,Easy.,2928,48,1,< 1hr.,,Karuru Carpark.,
Kathandeini Forest ,-0.4015166,37.3855394,Moderate.,2101,500,23.7,7 - 8 hrs.,,Kathandeini Forest Station.,
Kaya Kinondo Sacred Forest,-4.3932319,39.546914,Easy.,199,,2.2,1 – 2 hrs.,,,Cultural Tour.
Kenungu Falls ,-0.6159775,36.0144673,Moderate.,2866,416,9,2 – 3 hrs.,,Kwa Matu.,
Kenze Gorge,-1.8617261,37.3288712,Moderate.,1695,422,10,5 - 6 hrs.,,,
Kereita Forest,-0.9481305,36.6545587,Easy – Moderate.,2660,416,10,3 - 4 hrs.,,,Kereita Cave and Waterfall.
Kessup Falls,0.6360299,35.5114496,Moderate.,2163,,4.6,2 – 3 hrs.,,,
Kiburu Forest,-0.7054866,36.6734076,Easy – Moderate.,2757,332,10,3 - 4 hrs.,,,
Kieni Forest,-0.852884,36.6754361,Moderate.,2259,445,14,5 - 6 hrs.,,,
Kihuri Forest ,-0.5455969,36.8517254,Moderate.,2519,706,15.6,8 – 9 hrs.,,Kihuri Water Treatment Plant.,
Kijabe Hills ,-0.9463358,36.6013347,Moderate.,2688,773,13.1,6 - 7 hrs.,,,"Waterfalls, Cave, Tunnel, Old railway line."
Kilangarenyi Falls,-3.3982997,38.3678543,Easy.,1405,138,2.6,1 – 2 hrs.,,,
Kimakia Forest,-0.8138306,36.7826834,Easy – Moderate.,2292,417,13,3 - 4 hrs.,,,
Kiou Hill ,-1.9472831,37.3250862,Moderate.,1733,,10.4,5 - 6 hrs.,,,Dry river bed.
Kipkunur Hill,0.980103,35.56027,Moderate.,3063,1205,20,7 - 8 hrs.,,Kapsowar.,
Kipteber Hill,1.1163709,35.3289528,Easy.,2774,314,4.5,2 – 3 hrs.,,,
Kirimiri Forest,-0.4221126,37.5443789,Moderate.,1740,,10.3,5 - 6 hrs.,,,
Kitich Trail ,1.2270995,37.3019925,Moderate.,1910,852,19.3,2 days/1 night camping.,,Kitich Forest Camp.,
Koisung’ur Hill,1.0563465,35.4169657,Easy.,3167,189,3.6,1 – 2 hrs.,,,
Koitobos Peak ,1.1255337,34.6024824,Moderate – Hard.,,2394,72.2,3 days.,Chorlim Gate – Koitoboss Peak.,,
Kormoson Hill,0.3979998,36.021978,Easy.,1034,34,1.2,1 – 2 hrs.,,,
Kwenia Trail ,-1.7142297,36.4885632,Moderate.,1164,207,9,3 - 4 hrs.,,Kwenia Eco Lodge.,
Lake Chala,-3.3116663,37.7125883,Easy.,917,88,1,1 – 2 hrs.,,,
Lake Ellis & Nithi Fall,-0.1248352,37.4026751,Moderate,3455,505,19.1,7 - 8 hrs.,chogoria ,,
Leleshwa Vineyard ,-0.6656592,36.4457803,Easy.,1929,,1.2,1 – 2 hrs.,,,
Loita Hills ,-1.456422,35.644215,Moderate.,2409,756,36.3,4 days/3 nights camping.,,Naimina Enkiyio Forest(Loita Forest).,Entasopia Waterfalls & Nguruman Escarpment.
Loldia Eburru,-0.6703285,36.2717244,Easy.,2455,125,3.4,2 – 3 hrs.,,,
Lukenya Trail ,-1.4816465,37.076531,Moderate.,1853,538,25,6 - 7 hrs.,,Lukenya Academy.,
Machakos People’s Park,-1.537278,37.2370709,Easy.,1611,25,2,1 – 2 hrs.,,,
Mackinders Camp,0.1738836,37.2782493,Hard.,4300,1252,20,9 – 10 hrs.,,Met Station.,
Magura Falls,-0.4862622,36.7089969,Easy.,2989,34,1,< 1hr.,,,
Mambrui Beach ,-3.0764184,40.1606438,Easy,,,,,,,
Maratini Hill ,-0.3788687,36.6615021,Hard.,,1279,20,8 – 9 hrs.,,Geta Bush.,
Mbooni Forest/Hills ,-1.6572316,37.4656477,Moderate – Hard,1988,770,22.5,7 - 8 hrs.,,Mbooni Forest Station.,
